ticker,date,open,high,low,close
NFT,2022-01-06,3.19216e-06,3.29594e-06,3.05649e-06,3.16158e-06
NFT,2022-01-07,3.16186e-06,3.16236e-06,2.81024e-06,2.94051e-06
NFT,2022-01-08,2.93971e-06,3.0079e-06,2.61214e-06,2.7619e-06
NFT,2022-01-09,2.7624e-06,2.8518e-06,2.70123e-06,2.8114e-06
NFT,2022-01-10,2.8113e-06,2.8233e-06,2.494e-06,2.6185e-06
NFT,2022-01-11,2.6205e-06,2.74087e-06,2.6082e-06,2.72397e-06
NFT,2022-01-12,2.7247e-06,2.87724e-06,2.7208e-06,2.85714e-06
NFT,2022-01-13,2.85774e-06,2.88644e-06,2.73136e-06,2.76528e-06
NFT,2022-01-14,2.76528e-06,2.78301e-06,2.66773e-06,2.77593e-06
NFT,2022-01-15,2.77893e-06,2.81141e-06,2.70768e-06,2.75218e-06
NFT,2022-01-16,2.75127e-06,2.96658e-06,2.73289e-06,2.85124e-06
NFT,2022-01-17,2.85164e-06,2.87345e-06,2.70678e-06,2.77591e-06
NFT,2022-01-18,2.77581e-06,2.77891e-06,2.59644e-06,2.68487e-06
NFT,2022-01-19,2.68511e-06,2.74082e-06,2.59334e-06,2.72392e-06
NFT,2022-01-20,2.72412e-06,2.73792e-06,2.60206e-06,2.61132e-06
NFT,2022-01-21,2.60652e-06,2.60652e-06,2.10102e-06,2.12963e-06
NFT,2022-01-22,2.13694e-06,2.19536e-06,1.68734e-06,1.82565e-06
NFT,2022-01-23,1.82725e-06,1.9963e-06,1.81604e-06,1.92028e-06
NFT,2022-01-24,1.92178e-06,1.9788e-06,1.73705e-06,1.88158e-06
NFT,2022-01-25,1.88798e-06,1.97289e-06,1.85096e-06,1.95728e-06
NFT,2022-01-26,1.96098e-06,2.12466e-06,1.93486e-06,1.97218e-06
NFT,2022-01-27,1.97068e-06,2.0011e-06,1.88574e-06,1.95328e-06
NFT,2022-01-28,1.95358e-06,2.011e-06,1.92368e-06,1.9871e-06
NFT,2022-01-29,1.9867e-06,2.09253e-06,1.9865e-06,2.08022e-06
NFT,2022-01-30,2.07972e-06,2.10693e-06,1.96499e-06,1.98689e-06
NFT,2022-01-31,1.98719e-06,2.03822e-06,1.91947e-06,2.0025e-06
NFT,2022-02-01,2.0022e-06,2.05102e-06,1.9934e-06,2.03672e-06
NFT,2022-02-02,2.03592e-06,2.07354e-06,1.94188e-06,1.96617e-06
NFT,2022-02-03,1.96757e-06,2.0103e-06,1.92507e-06,1.9964e-06
NFT,2022-02-04,1.9946e-06,2.11267e-06,1.9941e-06,2.09988e-06
NFT,2022-02-05,2.09948e-06,2.21493e-06,2.09898e-06,2.14879e-06
NFT,2022-02-06,2.14839e-06,2.57569e-06,2.13109e-06,2.37475e-06
NFT,2022-02-07,2.37639e-06,2.54113e-06,2.37495e-06,2.48909e-06
NFT,2022-02-08,2.49009e-06,2.51891e-06,2.27952e-06,2.32569e-06
NFT,2022-02-09,2.32619e-06,2.41323e-06,2.31225e-06,2.39259e-06
NFT,2022-02-10,2.39189e-06,2.39736e-06,2.26841e-06,2.2879e-06
NFT,2022-02-11,2.2886e-06,2.29338e-06,2.10633e-06,2.10943e-06
NFT,2022-02-12,2.10888e-06,2.13458e-06,2.03202e-06,2.09185e-06
NFT,2022-02-13,2.09125e-06,2.12086e-06,2.06673e-06,2.09666e-06
NFT,2022-02-14,2.09645e-06,2.09666e-06,2.0025e-06,2.03732e-06
NFT,2022-02-15,2.03752e-06,2.12577e-06,2.03612e-06,2.11237e-06
NFT,2022-02-16,2.11247e-06,2.13088e-06,2.02131e-06,2.08795e-06
NFT,2022-02-17,2.08785e-06,2.09636e-06,1.92395e-06,1.93956e-06
NFT,2022-02-18,1.93916e-06,2.05143e-06,1.91194e-06,1.9949e-06
NFT,2022-02-19,1.9947e-06,2.04212e-06,1.91175e-06,1.92326e-06
NFT,2022-02-20,1.92385e-06,1.94717e-06,1.81333e-06,1.89635e-06
NFT,2022-02-21,1.89785e-06,1.91997e-06,1.78962e-06,1.7981e-06
NFT,2022-02-22,1.7966e-06,1.80322e-06,1.73122e-06,1.78567e-06
NFT,2022-02-23,1.78517e-06,1.86032e-06,1.76126e-06,1.77857e-06
NFT,2022-02-24,1.77977e-06,1.78079e-06,1.57048e-06,1.71589e-06
NFT,2022-02-25,1.71631e-06,1.76573e-06,1.68194e-06,1.7407e-06
NFT,2022-02-26,1.73457e-06,1.79182e-06,1.69795e-06,1.72339e-06
NFT,2022-02-27,1.72289e-06,1.76198e-06,1.64846e-06,1.66667e-06
NFT,2022-02-28,1.66417e-06,1.76688e-06,1.65226e-06,1.76321e-06
NFT,2022-03-01,1.76398e-06,1.8058e-06,1.72999e-06,1.77793e-06
NFT,2022-03-02,1.77783e-06,1.79014e-06,1.72815e-06,1.75245e-06
NFT,2022-03-03,1.75225e-06,1.78053e-06,1.69214e-06,1.72484e-06
NFT,2022-03-04,1.72504e-06,1.73365e-06,1.61012e-06,1.61378e-06
NFT,2022-03-05,1.61368e-06,1.6725e-06,1.60078e-06,1.6684e-06
NFT,2022-03-06,1.6683e-06,1.6738e-06,1.60072e-06,1.60838e-06
NFT,2022-03-07,1.60828e-06,1.60898e-06,1.53496e-06,1.55227e-06
NFT,2022-03-08,1.55227e-06,1.59802e-06,1.53316e-06,1.59022e-06
NFT,2022-03-09,1.58972e-06,1.64923e-06,1.58942e-06,1.62146e-06
NFT,2022-03-10,1.62112e-06,1.62462e-06,1.53531e-06,1.56883e-06
NFT,2022-03-11,1.57301e-06,1.57936e-06,1.57111e-06,1.57752e-06
NFT,2022-03-12,1.57702e-06,1.58656e-06,1.55466e-06,1.55486e-06
NFT,2022-03-13,1.55466e-06,1.57037e-06,1.53826e-06,1.53826e-06
NFT,2022-03-14,1.53852e-06,1.55051e-06,1.5101e-06,1.5161e-06
NFT,2022-03-15,1.51665e-06,1.52871e-06,1.4904e-06,1.52016e-06
NFT,2022-03-16,1.51996e-06,1.54471e-06,1.50375e-06,1.52406e-06
NFT,2022-03-17,1.5245e-06,1.54626e-06,1.52336e-06,1.52646e-06
NFT,2022-03-18,1.52551e-06,1.52832e-06,1.50095e-06,1.52106e-06
NFT,2022-03-19,1.52172e-06,1.5918e-06,1.52066e-06,1.57833e-06
NFT,2022-03-20,1.57799e-06,1.6076e-06,1.53637e-06,1.56192e-06
NFT,2022-03-21,1.56028e-06,1.57829e-06,1.52596e-06,1.57623e-06
NFT,2022-03-22,1.57623e-06,1.62431e-06,1.57099e-06,1.6013e-06
NFT,2022-03-23,1.60264e-06,1.7577e-06,1.58263e-06,1.69185e-06
NFT,2022-03-24,1.69285e-06,1.73587e-06,1.67067e-06,1.72869e-06
NFT,2022-03-25,1.72769e-06,1.73987e-06,1.63205e-06,1.67714e-06
NFT,2022-03-26,1.67584e-06,1.69835e-06,1.65082e-06,1.68948e-06
